"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903046","meiotic cell cycle process","15/502","141/13158",0.106382978723404,2.78842078494533,4.25212355386467,0.000315105501539278,0.00757575324679747,0.00599259295566061,"NDC80/CCNA1/RAD51AP1/CDC25C/REC8/SKA3/BRCA2/ESPL1/PTTG3P/CDC20/SKA1/TOP2A/NUF2/TTK/CDC25A",15
"GO:0045842","positive regulation of mitotic metaphase/anaphase transition","5/502","17/13158",0.294117647058824,7.70916334661355,5.51265332200512,0.000334853935168495,0.00793950226971922,0.0062803266979536,"DLGAP5/SKA3/ESPL1/CDC20/SKA1",5
"GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle","5/502","17/13158",0.294117647058824,7.70916334661355,5.51265332200512,0.000334853935168495,0.00793950226971922,0.0062803266979536,"DLGAP5/SKA3/ESPL1/CDC20/SKA1",5
"GO:0045840","positive regulation of mitotic nuclear division","7/502","36/13158",0.194444444444444,5.09661354581673,4.90183053918886,0.000359630008851794,0.00846854774268813,0.00669881368812554,"IGF1/DLGAP5/SKA3/ESPL1/CDC20/SKA1/PDGFRB",7
"GO:0045638","negative regulation of myeloid cell differentiation","9/502","59/13158",0.152542372881356,3.99831183739618,4.59690783966272,0.000365748398594865,0.00855403397530032,0.00676643524055326,"C1QC/CEACAM1/H4C8/H4C4/ZBTB16/LTF/INHBA/TNFAIP6/ERFE",9
"GO:0007292","female gamete generation","10/502","72/13158",0.138888888888889,3.64043824701195,4.47425640015174,0.000382209025705148,0.00887861236739391,0.00702318412382001,"NDC80/IGF1/INHBB/TDRD7/SKA3/INHBA/TNFAIP6/SKA1/TOP2A/MDK",10
"GO:0002573","myeloid leukocyte differentiation","16/502","160/13158",0.1,2.62111553784861,4.10882605693043,0.000406877563483683,0.00938822190105304,0.00742629684437148,"C1QC/CEACAM1/BATF2/PRTN3/CCR1/PPARG/IL1R2/LTF/LIF/INHBA/IFNG/TNFAIP6/IRF7/SOCS1/IFI16/ERFE",16
"GO:0051310","metaphase chromosome alignment","12/502","102/13158",0.117647058823529,3.08366533864542,4.20731516191867,0.000496350797665181,0.0113010201481648,0.00893936372073625,"BIRC5/NDC80/KIF14/CHMP5/SKA3/KIF2C/SPC25/NEK2/SKA1/NUF2/CDK1/TTK",12
"GO:2001251","negative regulation of chromosome organization","12/502","102/13158",0.117647058823529,3.08366533864542,4.20731516191867,0.000496350797665181,0.0113010201481648,0.00893936372073625,"BIRC5/NDC80/BUB1/SKA3/PML/ESPL1/SPC25/CDC20/SKA1/BUB1B/NUF2/TTK",12
"GO:0050691","regulation of defense response to virus by host","7/502","38/13158",0.184210526315789,4.82837072761585,4.70674782412917,0.000509010387790569,0.0114377628315293,0.00904753029036604,"DTX3L/TRIM22/PML/RIGI/PARP9/AIM2/TRIM6",7
"GO:0060338","regulation of type I interferon-mediated signaling pathway","7/502","38/13158",0.184210526315789,4.82837072761585,4.70674782412917,0.000509010387790569,0.0114377628315293,0.00904753029036604,"ISG15/OAS1/STAT2/ZBP1/USP18/OAS3/TRIM6",7
"GO:0045637","regulation of myeloid cell differentiation","15/502","148/13158",0.101351351351351,2.6565360180898,4.03622302411233,0.000530461982664251,0.0118423915350629,0.00936760078889753,"C1QC/CEACAM1/ISG15/H4C8/H4C4/CCR1/ZBTB16/LTF/LIF/INHBA/IFNG/TNFAIP6/IRF7/HMGB2/ERFE",15
"GO:0032640","tumor necrosis factor production","15/502","149/13158",0.100671140939597,2.63870691729725,4.0064020291813,0.000569673560509414,0.0125547288527652,0.00993107579303933,"EPHB2/CAMP/BPI/IGF1/OAS1/OAS2/LTF/MMP8/IFNG/RIGI/AZU1/OAS3/IFIH1/LY96/IL10",15
"GO:0032680","regulation of tumor necrosis factor production","15/502","149/13158",0.100671140939597,2.63870691729725,4.0064020291813,0.000569673560509414,0.0125547288527652,0.00993107579303933,"EPHB2/CAMP/BPI/IGF1/OAS1/OAS2/LTF/MMP8/IFNG/RIGI/AZU1/OAS3/IFIH1/LY96/IL10",15
"GO:0071346","cellular response to type II interferon","9/502","63/13158",0.142857142857143,3.74445076835515,4.34865576499982,0.000601974931619147,0.0131821007318893,0.010427341204668,"CCL2/PARP14/PPARG/GBP1/IFNG/SP100/PARP9/ARG1/GBP6",9
"GO:0002218","activation of innate immune response","23/502","287/13158",0.0801393728222996,2.10054555297972,3.75426469459274,0.000652064933724486,0.0141886027983847,0.0112235072091624,"MAP2K6/CLEC6A/RSAD2/S100A8/OAS1/TRIM5/DHX58/EIF2AK2/DDX60/LTF/CLEC4E/ZBP1/OASL/RIGI/OAS3/IRF7/AIM2/TASL/CD274/IFIH1/IFI35/LY96/IFI16",23
"GO:0030595","leukocyte chemotaxis","16/502","168/13158",0.0952380952380952,2.49630051223677,3.8873259077769,0.000697944524138735,0.0150914042389243,0.011937643662224,"CCL2/S100A8/CHGA/CCR1/DEFA4/S100A12/CCL8/DEFA1B/TNFAIP6/AZU1/CTSG/CXCL10/IL10/DEFA1/CXCL11/MDK",16
"GO:0032722","positive regulation of chemokine production","8/502","52/13158",0.153846153846154,4.03248544284401,4.36362456154273,0.000727646119357309,0.0156352959896902,0.0123678743954727,"CAMP/ALOX15B/OAS1/EIF2AK2/IFNG/AZU1/OAS3/FFAR3",8
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","5/502","20/13158",0.25,6.55278884462151,4.94929785305963,0.000763063156690649,0.0162567075507257,0.012859425060062,"ISG15/OAS1/STAT2/USP18/OAS3",5
"GO:0043270","positive regulation of monoatomic ion transport","13/502","122/13158",0.10655737704918,2.79299196655999,3.9624896970234,0.000766022868882363,0.0162567075507257,0.012859425060062,"CCL2/GPER1/SCN5A/CCR1/LCN2/IFNG/NOS1AP/KCNE1/PDGFRB/CXCL10/CAV1/CXCL11/ASPH",13
"GO:0060330","regulation of response to type II interferon","4/502","12/13158",0.333333333333333,8.73705179282869,5.34012442213953,0.000811479208951077,0.0169496399563903,0.0134075503378606,"PARP14/PPARG/PARP9/ARG1",4
"GO:0060334","regulation of type II interferon-mediated signaling pathway","4/502","12/13158",0.333333333333333,8.73705179282869,5.34012442213953,0.000811479208951077,0.0169496399563903,0.0134075503378606,"PARP14/PPARG/PARP9/ARG1",4
"GO:0002446","neutrophil mediated immunity","6/502","30/13158",0.2,5.24223107569721,4.63273786526071,0.000813464395812799,0.0169496399563903,0.0134075503378606,"ELANE/MPO/ANXA3/AZU1/CTSG/ARG1",6
"GO:0002526","acute inflammatory response","9/502","66/13158",0.136363636363636,3.57424846070264,4.17543275708522,0.000850988733938345,0.017624694381205,0.0139415337265807,"ELANE/IL1RN/PLSCR1/HP/LCN2/VNN1/FFAR3/CD163/IGHG1",9
"GO:0032371","regulation of sterol transport","7/502","42/13158",0.166666666666667,4.36852589641434,4.35457619893296,0.000953924616432157,0.0195213859005581,0.0154418598153087,"APOA2/PPARG/OSBPL6/ABCA13/PCSK9/CAV1/ABCA1",7
"GO:0032374","regulation of cholesterol transport","7/502","42/13158",0.166666666666667,4.36852589641434,4.35457619893296,0.000953924616432157,0.0195213859005581,0.0154418598153087,"APOA2/PPARG/OSBPL6/ABCA13/PCSK9/CAV1/ABCA1",7
"GO:0060326","cell chemotaxis","19/502","224/13158",0.0848214285714286,2.22326764371087,3.6775715599677,0.000962336121544241,0.0195769916323615,0.0154858452126474,"CCL2/S100A8/CHGA/CCR1/DEFA4/S100A12/CCL8/DEFA1B/TNFAIP6/AZU1/CTSG/PDGFRB/HMGB2/CXCL10/DOCK4/IL10/DEFA1/CXCL11/MDK",19
"GO:0010818","T cell chemotaxis","5/502","21/13158",0.238095238095238,6.24075128059192,4.78671046924534,0.000970414293470945,0.0196252020056065,0.0155239807133278,"DEFA4/DEFA1B/CXCL10/DEFA1/CXCL11",5
"GO:1901699","cellular response to nitrogen compound","32/502","468/13158",0.0683760683760684,1.79221575237511,3.47550287396331,0.00103393895425065,0.0207876147644077,0.0164434756180631,"EPHB2/CAMP/GRB10/AGRN/GPER1/IGF1/INHBB/CEACAM1/OAS1/CHRNB2/CHMP5/GDF15/PPARG/LCN2/ECHDC3/INHBA/TSHR/RIGI/PCSK9/OAS3/FFAR3/CDC6/KCNE1/CACNA1A/CAV1/IFIH1/LY6E/SOCS1/MZB1/IFIT1/SLC1A3/ERFE",32
"GO:0050900","leukocyte migration","22/502","279/13158",0.0788530465949821,2.06682945636808,3.58705546003068,0.00104896525648555,0.0209671078592868,0.0165854587345824,"CCL2/GPR15/ANKRD22/ITGA7/S100A8/PRTN3/CHGA/GDF15/ELANE/CCR1/DEFA4/S100A12/CCL8/DEFA1B/TNFAIP6/AZU1/CTSG/CXCL10/IL10/DEFA1/CXCL11/MDK",22
"GO:0050688","regulation of defense response to virus","8/502","55/13158",0.145454545454545,3.81253169141615,4.16270334333546,0.0010653543588645,0.0211716085883015,0.0167472234579304,"DTX3L/TRIM22/HERC5/PML/RIGI/PARP9/AIM2/TRIM6",8
